labels,x,y,intensity
cell1,413.417293464668,797.549844820331,2288.55849887246
cell1,412.91375300907,807.098468277856,3141.36886030696
cell1,414.489257852235,814.828409652737,6696.03780911402
cell1,417.493604789672,678.799118105582,1416.20673345915
cell1,418.776213942172,722.533578770611,915.986148499223
cell1,420.366115255948,785.721679811861,4935.81106234488
cell1,419.785260478873,833.337807813882,1432.35425570791
cell1,420.94179285878,673.304883463458,1261.30409617864
cell1,421.392593317822,877.448781178708,3682.38440135017
cell1,421.753144322055,737.692472047913,1881.22278152253
cell1,422.721031010364,812.120451263412,3790.19250193796
cell1,422.821399847246,818.277592545191,4665.29407256369
cell1,422.35374021561,838.544470800014,1921.52689739437
cell1,422.195597715799,882.483530676272,3712.9109422115
cell1,423.192144649129,698.888557384664,2118.57223849763
cell1,423.483173231097,745.788558685602,1925.16808948508
cell1,423.243929013639,844.079402750646,3873.25933998077
cell1,424.54314709301,658.66934277826,1455.1309231731
cell1,423.879080213463,891.650879043035,1809.82928234509
cell1,424.898383600724,757.781253587143,1387.01051358662
cell1,424.912715491043,795.462571978326,1734.56688150683
cell1,426.081953460812,681.307224587945,2180.57075120766
cell1,425.595612749488,860.723848625882,2669.52009087312
cell1,425.818671346459,867.824476832759,2652.60683403669
cell1,426.411038774483,715.008569956342,931.847978618601
cell1,426.311041046302,741.528605945088,2252.85033199102
cell1,426.605101645974,780.737845466414,3035.96376309751
cell1,426.972375415687,810.488805828031,5679.81900888412
cell1,426.610197404598,817.636457556269,5948.75984834846
cell1,426.669678761238,853.776341055187,2986.35328299032
cell1,427.399452192217,802.058926408278,5649.77076992344
cell1,429.16316616719,703.098493787553,1787.4335178278
cell1,429.863311214472,767.148436417979,4136.91881857805
cell1,430.412804782674,773.782912778018,9555.84122209141
cell1,429.831327701306,842.303867810729,6333.23667227047
cell1,431.40702151708,759.396762546412,3855.6301823157
cell1,431.207972585342,890.370602784262,2000.50351634489
cell1,430.979608377711,901.214588834096,1682.23861720972
cell1,432.548347725958,796.167317109219,1518.63892201992
cell1,431.32973641685,810.645309034386,4363.99367901329
cell1,432.136644664708,825.670949878051,2614.89354750705
cell1,432.105621882151,874.837442624391,3225.26114398115
cell1,433.829123217591,740.545081829223,5344.87581557339
cell1,433.458808264178,655.298674633096,2329.94317772259
cell1,433.691479458674,669.195271624038,1318.27149727775
cell1,434.118438712742,709.483328518055,1967.94029622747
cell1,433.697480466141,748.105873788935,8122.77220911338
cell1,433.746066701881,752.085078868252,6769.58590758289
cell1,433.351794638937,774.000615194448,9299.34173935012
cell1,433.807748398308,853.204713666405,8148.25487761043
cell1,435.455568358035,588.615913774482,1381.48091034161
cell1,436.416716024149,698.966332554341,1244.43348999585
cell1,435.634917922658,760.068266237636,5748.46109985555
cell1,435.915823691789,802.622585613178,4703.19637778189
cell1,436.755671001907,815.25092835225,7039.03508359027
cell1,436.266679046284,830.589124179211,6438.18535131376
cell1,437.388959327699,675.333070928202,1900.4166384995
cell1,435.730109939133,739.569052788335,4563.66461540446
cell1,436.688426982979,765.279756096388,3324.70134616893
cell1,437.478278584997,790.077812295553,2036.9591412992
cell1,438.576013489319,819.747319787799,4594.2224364526
cell1,438.634018987789,840.36668358032,7763.67392605927
cell1,437.925561526381,861.000748883351,8122.02297793033
cell1,438.069706205397,886.39947063155,1312.06596318767
cell1,439.261361392506,780.641242777724,2854.46663822659
cell1,439.16940537403,849.042112457345,5079.9709408212
cell1,438.960158061592,874.888397432253,3759.72271162736
cell1,439.893892830654,616.999931628788,1372.71465416895
cell1,439.471998593944,646.500260191087,4047.93518425852
cell1,439.883243873618,914.536335023686,2943.57780322937
cell1,441.191758135512,665.709138903541,2986.18567351577
cell1,441.134639720075,734.34053965567,2717.70046977528
cell1,440.100721776723,817.004479842505,8083.01246648268
cell1,441.66206173191,755.988843405806,8102.18885691299
cell1,442.654090117849,762.504526998678,5449.68677530806
cell1,442.129163885705,808.045942302642,10837.0231391407
cell1,441.67952895224,837.597533079036,9543.39647824794
cell1,442.338607142026,679.08738445447,3338.47359259747
cell1,442.634673158869,773.958788524002,5021.13587256451
cell1,442.922374243083,828.944017263841,6873.58470653907
cell1,443.864373100053,688.430361110081,4142.43289654669
cell1,444.256964669132,696.167137621604,2155.77285859568
cell1,443.801229356464,728.627042674521,6378.52246265291
cell1,444.160001922009,794.696669546053,2869.65716387645
cell1,444.03091205029,880.027111589099,1937.96692646517
cell1,444.299079900211,895.124492091963,1580.99966102484
cell1,445.738334583771,634.362244713958,1833.06719610266
cell1,445.946963969127,746.558116105609,10109.1860323004
cell1,445.877343120424,780.009617861941,2960.0728915984
cell1,445.723151512557,832.658190729515,7141.15685757417
cell1,447.162870933428,663.99752496377,3430.99380232776
cell1,446.706757489041,724.653471615236,6372.11432242159
cell1,447.107595310786,812.200375903926,16444.9860102964
cell1,446.990182118755,850.590036634612,7564.97302101495
cell1,446.707016932848,855.214490042554,4822.17904354001
cell1,448.573393622919,673.639903175015,4107.06814141555
cell1,448.520158637489,678.552406496434,3890.44367860382
cell1,447.593529165725,710.54689962923,3012.06923287684
cell1,447.697848254515,845.132583118514,6199.77539798828
cell1,449.444892121003,770.681360969775,7520.42552223282
cell1,448.728522174074,824.625652208452,5391.25966365869
cell1,449.172802920988,921.716806042438,3434.08351818061
cell1,450.232709329556,568.783140025581,2086.94835015982
cell1,449.973688976173,656.32397131176,7115.45474739492
cell1,450.480797109586,732.269397459957,5628.23944354888
cell1,450.809097278144,794.801096311666,5915.60306568237
cell1,449.641451457608,870.997347810254,5530.28912337209
cell1,450.346807371826,913.624899846751,2167.43227726541
cell1,450.506653111633,799.429971584636,7925.90464312415
cell1,450.622048030303,929.686067899397,3115.15401407269
cell1,451.967487710768,670.035370138058,4717.98886331656
cell1,452.11977544362,701.980087368045,8415.60586174475
cell1,452.249922585741,744.950945508855,14869.6925909663
cell1,451.705488285498,764.067417250509,7273.58652645235
cell1,452.227766052169,779.064538715306,5640.47171055793
cell1,451.396886472467,786.591418998178,7270.6632215938
cell1,451.828176600148,840.934275694339,5873.05927449847
cell1,452.812102885694,636.783524255362,4294.9838645245
cell1,452.631488488808,683.196785434338,5661.17190870365
cell1,453.230392083869,696.150557903576,9213.62048063779
cell1,452.760998398938,723.908819122534,12849.2229988579
cell1,453.508937773479,753.215614302185,11935.8467892545
cell1,452.442721789443,809.374273248646,7859.97203994487
cell1,452.937281397041,906.90057225534,3689.36781969397
cell1,453.572683763147,771.921304166884,6592.96499989211
cell1,454.249083701123,836.9347813995,4281.80471670175
cell1,453.952306454664,865.113228085266,4080.10735101401
cell1,453.223415903433,922.430287937632,3111.10326376595
cell1,455.336370999753,607.196201371277,2352.56248266575
cell1,455.28903650505,629.895804705478,4871.41673065937
cell1,455.309640092128,795.463645712735,8062.85421936958
cell1,455.140739439554,852.484891279886,2310.18807300791
cell1,454.898167510151,954.240402498635,5088.64311268344
cell1,455.383070682106,755.609903383301,12954.0582393951
cell1,456.664632646919,688.964497558912,7149.8972855284
cell1,456.541582340821,823.01939987625,12891.9217444455
cell1,456.341084113427,886.273406369431,2670.6113172167
cell1,457.593533475867,649.807397300789,3363.91160433781
cell1,458.027652196593,658.216961319802,3496.98581501383
cell1,458.338339422622,679.697233473044,3949.61994325093
cell1,457.867933767318,717.768650372836,16225.045199765
cell1,458.079161027611,740.717780330142,5159.9600387245
cell1,458.133104724399,784.610804751977,11551.074658128
