labels,x,y,intensity
cell1,133.103869944072,778.926336928172,3370.81084184108
cell1,133.951202487047,753.215117360534,9084.42161760675
cell1,138.152704369334,760.248272955721,1635.65725491181
cell1,141.762983793807,778.100500198187,15486.4524304037
cell1,145.103032428954,790.611341156847,1692.92415025127
cell1,147.010906273651,749.55098340161,5276.8088571633
cell1,151.30098436557,795.72777158996,2025.76883425659
cell1,150.888495170915,802.69515217708,2476.33712539405
cell1,154.959514481829,808.958979945053,3399.65882305027
cell1,156.446806855474,757.517716104539,2281.42346002127
cell1,155.797862402553,779.549918058674,19243.049153382
cell1,157.195103849217,743.742227331409,6744.68057093735
cell1,157.190670424692,789.112785211423,2255.58938034051
cell1,157.60153970988,770.965842968272,2428.12431918237
cell1,160.078390249037,800.41328270388,7930.94689326483
cell1,164.614313511699,789.71056594784,5409.09264965392
cell1,164.33878517222,809.466397449316,10601.9608445124
cell1,164.434931099982,740.339184357793,5677.65981584907
cell1,165.58277595472,780.547449434178,16174.3470158749
cell1,168.760567308267,749.570352584465,4013.47955265132
cell1,168.681617567808,789.608897469597,6843.64822938937
cell1,167.471053676781,799.348698965445,5545.87185065556
cell1,168.538053142911,820.518474634254,3512.28093759105
cell1,170.41035221324,737.935399283814,4379.38965593944
cell1,171.021513538251,809.905734937235,18934.4792250994
cell1,170.848543468403,749.374576424918,1748.73542133438
cell1,171.961933536823,792.441102343979,8829.24439001612
cell1,172.467484835505,756.379517795183,10584.9390581604
cell1,173.717499346996,777.897561606717,9522.13009975977
cell1,176.471267655614,842.601141219407,3759.69417908617
cell1,177.548729550222,784.993560758393,4437.6990608767
cell1,177.743160983829,811.756600770223,8387.62509736929
cell1,179.841135389324,750.740805724079,7701.70206527707
cell1,179.179074970572,758.847543771182,11308.0860478545
cell1,179.045495067496,805.437179816509,12626.5449214125
cell1,181.018083127836,742.298670160095,11986.721162557
cell1,182.505020824535,732.052666789326,5170.27233029453
cell1,181.826871794407,768.681766744094,4473.95065056386
cell1,183.698184291241,798.503676156821,18812.0826872195
cell1,183.623688980765,847.591771313602,5563.61512622255
cell1,183.574524754519,759.941222170607,6375.1863143297
cell1,185.126884902272,777.598064306185,11463.8544246197
cell1,184.697538671837,809.217702044556,10843.6714061005
cell1,184.831640609565,832.095632416716,16150.1338547092
cell1,186.369800772342,783.749512132724,3595.4084990099
cell1,188.545355685067,740.125372051346,9610.1595683795
cell1,191.534897340535,811.460472632721,12262.2343702139
cell1,191.880254065996,749.137047221183,2097.08750183615
cell1,193.350895206308,739.197156736018,9732.22866317677
cell1,193.962529333194,776.602853263261,7597.91948986126
cell1,193.88567219087,858.123374948781,3425.87453350362
cell1,195.227309329401,802.765838586059,14085.6578369181
cell1,194.672499708294,833.950324114587,14417.3594117145
cell1,196.575083244512,789.314367015238,7404.14736558389
cell1,199.214458543862,746.567242495386,2448.02122115216
cell1,199.385873698767,815.570889108169,16532.3798839983
cell1,200.160631955562,764.052714653168,1447.86679875207
cell1,200.375604885786,800.015251233758,3254.41263185839
cell1,200.918765111017,826.696326114177,4594.74983288819
cell1,200.758038618608,840.989221175751,3440.04301265546
cell1,202.403403153898,807.810208174838,12197.9416247064
